model,condition,raw_bytes,gzip_ratio,lzma_ratio,zstd22_ratio,brotli_ratio,trigram_entropy,pentgram_entropy,mattr_w200,log_len,contrast
grok-4-1-fast-reasoning,narrative_cot,3891,0.4800822410691339,0.5037265484451298,0.47622719095348237,0.3875610382934978,9.971835823036255,11.227135898897908,0.7755380577427822,8.266421472984554,1.0
claude-haiku-4-5,standard_cot,1696,0.5294811320754716,0.5919811320754716,0.53125,0.3714622641509434,9.432635585119368,10.276773602617359,0.7822413793103448,7.4360278163518485,-1.0
claude-haiku-4-5,narrative_cot,5161,0.468126332106181,0.48052702964541755,0.46018213524510754,0.3677581863979849,10.118993713086466,11.505532104648767,0.7467744610281923,8.548885638148727,1.0
gpt-5.4-nano,standard_cot,2386,0.471081307627829,0.509639564124057,0.4685666387259011,0.3562447611064543,9.37671853474369,10.356211575035038,0.7371551724137929,7.777373602657861,-1.0
claude-haiku-4-5,standard_cot,1556,0.5925449871465296,0.6658097686375322,0.5925449871465296,0.44922879177377895,9.637740880397763,10.394382925639858,0.8614583333333333,7.349873704738337,-1.0
claude-haiku-4-5,narrative_cot,5337,0.4489413528199363,0.45943413902941727,0.43882330897507965,0.35132096683530073,10.012311269416374,11.421887734247242,0.6888625592417061,8.582418976333944,1.0
gpt-5.4-nano,standard_cot,4899,0.4815268422126965,0.49642784241681975,0.4782608695652174,0.3786487038171055,10.1467269281838,11.503916316008342,0.7569710669077758,8.496786381638575,-1.0
gpt-5.4-nano,standard_cot,1888,0.5328389830508474,0.5911016949152542,0.5317796610169492,0.4189618644067797,9.457530977159053,10.37995743868487,0.709271844660194,7.543273346705446,-1.0
gpt-5.4-nano,standard_cot,2773,0.5203750450775334,0.5582401730977281,0.5189325640100974,0.4107464839523981,9.867509010650464,10.935780424764625,0.7774788135593221,7.927685045615778,-1.0
gpt-5.4-nano,standard_cot,1455,0.488659793814433,0.5553264604810997,0.48934707903780067,0.38075601374570445,8.931236861781162,9.681259040145509,0.6403571428571428,7.282761179605593,-1.0
gpt-5.4-nano,narrative_cot,9203,0.4284472454634358,0.4298598283168532,0.41779854395305877,0.3484733239161143,10.130763937741147,11.989489048371471,0.7412837837837839,9.127284796838858,1.0
grok-4-1-fast-reasoning,standard_cot,4340,0.5129032258064516,0.5262672811059907,0.5057603686635944,0.41036866359447005,10.1832536506932,11.423081037777155,0.7959655172413793,8.375629627094451,-1.0
gpt-5.4-nano,standard_cot,2438,0.5094339622641509,0.5512715340442986,0.5102543068088597,0.39827727645611155,9.631437170261842,10.651938412879682,0.7227297297297296,7.798933310041217,-1.0
claude-haiku-4-5,standard_cot,1468,0.5619891008174387,0.6348773841961853,0.5688010899182562,0.4284741144414169,9.374374272879882,10.183054239599914,0.77225,7.291656209174461,-1.0
claude-sonnet-4-6,narrative_cot,7902,0.4374841812199443,0.43735763097949887,0.4249557074158441,0.34636800809921536,10.125326879597669,11.887424414846963,0.715866247755835,8.974871170971337,1.0
claude-haiku-4-5,narrative_cot,6257,0.46587821639763466,0.4717915934153748,0.4570880613712642,0.36838740610516224,10.265854216537496,11.774797617356393,0.7334910836762687,8.741456115998364,1.0
claude-sonnet-4-6,standard_cot,1593,0.5222849968612681,0.5925925925925926,0.5222849968612681,0.3691148775894539,9.296389312760205,10.165583910078455,0.7547826086956523,7.373374309910049,-1.0
claude-sonnet-4-6,narrative_cot,9710,0.42059732234809477,0.4164778578784758,0.40679711637487126,0.3322348094747683,10.180707479461423,12.02602756641404,0.7378957680250784,9.18091156128537,1.0
claude-haiku-4-5,standard_cot,1408,0.5909090909090909,0.6676136363636364,0.5923295454545454,0.44389204545454547,9.495885978787438,10.252037291378803,0.8150000000000001,7.249925536717988,-1.0
claude-haiku-4-5,standard_cot,1417,0.5596330275229358,0.6407904022582922,0.5617501764290755,0.40860973888496827,9.32305763919026,10.140463449986413,0.7729166666666667,7.256297239690681,-1.0
grok-4-1-fast-reasoning,standard_cot,2631,0.5381984036488028,0.5762067654884074,0.5393386545039909,0.41809198023565186,9.916020355099972,10.896920881652639,0.7929941860465117,7.875119281040293,-1.0
claude-haiku-4-5,standard_cot,1586,0.5699873896595208,0.6431273644388399,0.5725094577553594,0.4344262295081967,9.52792821108208,10.315038039605913,0.7928571428571428,7.368970402194793,-1.0
gpt-5.4-nano,standard_cot,2028,0.51232741617357,0.5621301775147929,0.5113412228796844,0.391025641025641,9.410593162421247,10.373406910036282,0.7148672566371681,7.614805364711073,-1.0
gpt-5.4-nano,standard_cot,1664,0.5474759615384616,0.6129807692307693,0.5498798076923077,0.43810096153846156,9.377084114386335,10.274981690539091,0.7582142857142856,7.416979621381154,-1.0
grok-4-1-fast-reasoning,standard_cot,4283,0.5183282745738969,0.5388746205930423,0.5157599813215036,0.4099929955638571,10.309697971683821,11.459981194548913,0.8105938242280285,8.36240897761537,-1.0
claude-sonnet-4-6,narrative_cot,9105,0.42526084568918177,0.4257001647446458,0.41317957166392094,0.33047775947281716,10.153737165256276,12.002004870404853,0.7437931034482759,9.116578992161708,1.0
claude-sonnet-4-6,narrative_cot,9157,0.43442175384951404,0.43464016599322924,0.4216446434421754,0.346729278147865,10.221525860681526,12.06498791525815,0.7054357798165138,9.122273893107732,1.0
gpt-5.4-nano,narrative_cot,12320,0.42167207792207795,0.4146103896103896,0.40714285714285714,0.34391233766233764,10.275411540944253,12.31793877986959,0.7385746226942426,9.41897923708751,1.0
claude-haiku-4-5,standard_cot,1484,0.5363881401617251,0.6091644204851752,0.5357142857142857,0.396900269541779,9.244443691331192,10.037027098738578,0.6994,7.302496423727326,-1.0
